stage,kg,alpha,calibration,signal,dose_bias,corrected,mixture,differential_background,differential_gain,trials,rejected,rejection_rate,ci_low,ci_high,uncalibrated_t_rate,optimizer_failed_fits,active_bound_fits,total_fits,invalid_trials,mean_rmse,mean_nfev
evaluation,7.8,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026936009280525114,6.127875
evaluation,7.8,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02690661678355542,6.056375
evaluation,7.8,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026773204037950006,5.8139375
evaluation,7.8,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02661429162445711,5.499625
evaluation,7.8,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.026929683097847178,6.2541875
evaluation,7.8,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026901905243199777,6.2010625
evaluation,7.8,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026783646468262638,6.0701875
evaluation,7.8,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026635570606530524,5.9236875
evaluation,7.8,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027115311064328566,6.1984375
evaluation,7.8,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02700973363228801,6.0875
evaluation,7.8,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,1996,0.998,0.994868648214923,0.9992219726929489,0.9985,0,0,16000,0,0.02686925433291922,5.776
evaluation,7.8,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026702340277489172,5.340875
evaluation,7.8,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027129200924841362,6.181125
evaluation,7.8,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02707047312815633,6.0990625
evaluation,7.8,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,1998,0.999,0.9963610657309615,0.9997257210823479,1.0,0,0,16000,0,0.02684046691384156,5.8281875
evaluation,7.8,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02667753219618241,5.5385
evaluation,7.8,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.027093525974920783,6.302125
evaluation,7.8,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0005,0,0,16000,0,0.02698508539092466,6.2454375
evaluation,7.8,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.02683548661658812,6.0911875
evaluation,7.8,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.999,0,2,16000,2,0.026712966866934203,5.95275
evaluation,11.7,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026878357073272602,6.058375
evaluation,11.7,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,354,0.177,0.16089671809231565,0.19434169445137367,0.208,0,0,16000,0,0.02682555010852928,5.99625
evaluation,11.7,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026700694836116208,5.6060625
evaluation,11.7,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026529853336743695,5.1606875
evaluation,11.7,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02684254497170376,6.052375
evaluation,11.7,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,300,0.15,0.1350225249497082,0.1663194081471688,0.1875,0,0,16000,0,0.026844733767198734,5.995625
evaluation,11.7,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026712737877476005,5.7134375
evaluation,11.7,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026574154870495262,5.4266875
evaluation,11.7,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.026824658721947437,6.19175
evaluation,11.7,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,310,0.155,0.13980191433164452,0.17152084829241998,0.194,0,2,16000,2,0.026829245881967424,6.1605625
evaluation,11.7,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.0267146117063935,6.020625
evaluation,11.7,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.026551790119865474,5.889
evaluation,11.7,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02688670404455213,6.069
evaluation,11.7,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,279,0.1395,0.12500559293773536,0.155376598152048,0.172,0,0,16000,0,0.026862729479312834,5.9770625
evaluation,11.7,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026712058608683358,5.6201875
evaluation,11.7,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026576011246022154,5.188125
evaluation,11.7,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026868945505527812,6.067
evaluation,11.7,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,245,0.1225,0.10885029598940679,0.13759707470793917,0.158,0,0,16000,0,0.02683679016209806,5.9918125
evaluation,11.7,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026715535936401857,5.720125
evaluation,11.7,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02658673756320727,5.4424375
evaluation,11.7,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.026883039978135386,6.2099375
evaluation,11.7,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,288,0.144,0.12929517927927803,0.160069758384974,0.165,0,0,16000,0,0.026859525295118238,6.161625
evaluation,11.7,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026728689249585158,6.0185625
evaluation,11.7,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026618609833804822,5.9148125
evaluation,11.7,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02701897533878537,6.103375
evaluation,11.7,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,178,0.089,0.07729578599356494,0.10228002687162495,0.1075,0,0,16000,0,0.026971961612064697,5.997375
evaluation,11.7,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026805472511895575,5.6486875
evaluation,11.7,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02667088134275808,5.2486875
evaluation,11.7,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027033358567880465,6.1025625
evaluation,11.7,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,198,0.099,0.08666951249362448,0.11286795942594038,0.123,0,0,16000,0,0.0269390666912576,6.0106875
evaluation,11.7,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026799537853139755,5.756875
evaluation,11.7,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026671608222047595,5.492
evaluation,11.7,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.02700095437965436,6.2485625
evaluation,11.7,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,177,0.0885,0.07682827914571014,0.10174945076676101,0.1055,0,0,16000,0,0.026995793232103663,6.1865
evaluation,11.7,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.02680671215696799,6.046875
evaluation,11.7,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026635483446616405,5.932875
evaluation,15.6,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,69,0.0345,0.027351694147721588,0.04343307687112489,0.0435,0,0,16000,0,0.026827076774208643,6.01475
evaluation,15.6,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,1984,0.992,0.9870439223284629,0.995069703146784,0.996,0,0,16000,0,0.02680341322790788,5.892875
evaluation,15.6,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026665393465833197,5.499125
evaluation,15.6,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02653162416131135,5.089625
evaluation,15.6,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,83,0.0415,0.033602383185357104,0.05115554917155182,0.051,0,0,16000,0,0.02681011296193891,6.012875
evaluation,15.6,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,1980,0.99,0.9846040615409247,0.9935172321234472,0.9935,0,0,16000,0,0.02675716903637333,5.920875
evaluation,15.6,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02665880364436685,5.6348125
evaluation,15.6,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026533691565877794,5.392
evaluation,15.6,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,80,0.04,0.032256746939981165,0.04950693655877153,0.053,0,0,16000,0,0.026849892508634333,6.163625
evaluation,15.6,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,1964,0.982,0.9751819578651543,0.9869700085557177,0.99,0,1,16000,1,0.02678222638990683,6.1159375
evaluation,15.6,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02669691988720046,5.9761875
evaluation,15.6,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.026533798346197544,5.884
evaluation,15.6,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,79,0.0395,0.03180890787160705,0.0489566926744269,0.052,0,0,16000,0,0.026864552236259064,6.000625
evaluation,15.6,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,1939,0.9695,0.9610172880930726,0.9761826045098309,0.981,0,0,16000,0,0.026804975591836935,5.877875
evaluation,15.6,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02669405978983347,5.5230625
evaluation,15.6,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026584775249179474,5.1054375
evaluation,15.6,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,70,0.035,0.027795569156293554,0.04398728481527167,0.044,0,0,16000,0,0.026840062531986793,6.008875
evaluation,15.6,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,1937,0.9685,0.9599017692818405,0.9753019574156255,0.979,0,0,16000,0,0.026797232655457325,5.920875
evaluation,15.6,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026670128891533643,5.6416875
evaluation,15.6,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026585110973733613,5.41225
evaluation,15.6,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,72,0.036,0.02868460672278366,0.04509441315421905,0.047,0,0,16000,0,0.0268605676303612,6.1736875
evaluation,15.6,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,1940,0.97,0.9615758302685604,0.9766221452870616,0.9805,0,0,16000,0,0.02683583283927232,6.1248125
evaluation,15.6,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026699451182547497,5.9885
evaluation,15.6,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026557530877816028,5.885625
evaluation,15.6,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,43,0.0215,0.016000780509074646,0.028833833739084404,0.027,0,0,16000,0,0.02697902274257258,6.0259375
evaluation,15.6,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,1603,0.8015,0.7834482590375862,0.8183957614518182,0.843,0,0,16000,0,0.0269207029448336,5.897
evaluation,15.6,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02673176087842162,5.5551875
evaluation,15.6,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02663884317092745,5.1785
evaluation,15.6,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,50,0.025,0.019014423503992475,0.032806771413197815,0.032,0,0,16000,0,0.026986230928765637,6.0401875
evaluation,15.6,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,1626,0.813,0.7953174978047974,0.829482430597138,0.8435,0,0,16000,0,0.026944217602451463,5.9400625
evaluation,15.6,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026764600442862524,5.672
evaluation,15.6,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026591949852404453,5.45675
evaluation,15.6,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,60,0.03,0.02337785471293825,0.03842416973143951,0.036,0,0,16000,0,0.026957483988100633,6.1939375
evaluation,15.6,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1598,0.799,0.7808710507776225,0.8159825549481882,0.836,0,0,16000,0,0.02692429852180023,6.1440625
evaluation,15.6,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.999,0,2,16000,2,0.026760504761929933,6.02025
evaluation,15.6,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02660121509509353,5.9178125
mixture,7.8,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027113990876517058,6.1839375
mixture,7.8,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02705632419599796,6.188625
mixture,7.8,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027129809437488803,6.1971875
mixture,7.8,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,2000,3,0.0015,0.0005102635836384819,0.004401032555770693,0.0035,0,0,16000,0,0.027259521382774692,6.19875
mixture,7.8,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,2000,197,0.0985,0.08619980868374258,0.11233958028310354,0.115,0,0,16000,0,0.027312723476564237,6.1909375
mixture,7.8,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,2000,1106,0.553,0.5311294470988517,0.5746673458893357,0.609,0,0,16000,0,0.027438797229324102,6.1904375
mixture,7.8,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,2000,1888,0.944,0.9330459959530119,0.9532516660612355,0.9575,0,0,16000,0,0.027604893175847075,6.173
mixture,7.8,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.9995,0,0,16000,0,0.027727489314229116,6.1439375
mixture,7.8,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02787910564748096,6.1113125
mixture,7.8,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027986118285221594,6.084625
mixture,7.8,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.028055213461167825,6.0406875
mixture,11.7,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.027025595444958958,6.1050625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,2000,7,0.0035,0.0016964316970424177,0.007207196253241745,0.0035,0,0,16000,0,0.027023458532982977,6.102375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,2000,152,0.076,0.06518168804667072,0.08844396804783176,0.088,0,0,16000,0,0.027046682089722534,6.1044375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,2000,1001,0.5005,0.47860700315257176,0.5223910798001468,0.5475,0,0,16000,0,0.027107209015673105,6.0894375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,2000,1834,0.917,0.904094913280437,0.9283062692869981,0.9345,0,0,16000,0,0.027265540540293058,6.0995625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,2000,1997,0.9985,0.9955989674442294,0.9994897364163615,0.9985,0,0,16000,0,0.027399795047180993,6.079625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02752577540934753,6.0784375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027703797962456023,6.0651875
mixture,11.7,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027833236730957063,6.03275
mixture,11.7,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.0279739945729157,5.996875
mixture,11.7,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.028006350295477545,5.966625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,2000,73,0.0365,0.02912975228047479,0.045647350549246665,0.045,0,0,16000,0,0.0269801832121298,6.037125
mixture,15.6,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,2000,625,0.3125,0.2925617906256879,0.3331571021047819,0.3515,0,0,16000,0,0.026954819704170987,6.02725
mixture,15.6,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,2000,1596,0.798,0.7798404648946978,0.8150169749256754,0.8345,0,0,16000,0,0.027022824301788036,6.0215625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,2000,1974,0.987,0.9810196914827969,0.9911131044652626,0.991,0,0,16000,0,0.02712959427226302,6.019125
mixture,15.6,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.999,0,0,16000,0,0.027214182777522907,6.0090625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027396591375459606,6.006625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027456747867061378,5.988625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02764310204149103,5.989125
mixture,15.6,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027780426998636185,5.9605
mixture,15.6,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027931718638220155,5.9429375
mixture,15.6,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.028014611095628705,5.9346875
systematic,7.8,0.17,1.0,1.0,-0.15,False,0.0,0.0,0.0,2000,371,0.1855,0.1690732403049362,0.20313258243497184,0.218,0,0,16000,0,0.027006010529099816,5.955625
systematic,7.8,0.17,1.0,1.0,-0.15,True,0.0,0.0,0.0,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02701552074425053,6.177
systematic,7.8,0.17,1.0,1.0,-0.1,False,0.0,0.0,0.0,2000,2,0.001,0.0002742789176520342,0.003638934269038394,0.0015,0,0,16000,0,0.027027132084511137,6.0273125
