stage,kg,alpha,calibration,signal,dose_bias,corrected,mixture,differential_background,differential_gain,condition_affine,trials,rejected,rejection_rate,ci_low,ci_high,uncalibrated_t_rate,optimizer_failed_fits,active_bound_fits,total_fits,invalid_trials,mean_rmse,mean_nfev
evaluation,11.7,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02560279541456091,5.313125
evaluation,11.7,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025924750852823805,6.1486875
evaluation,11.7,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,186,0.093,0.08104000170965553,0.10652047477728435,0.115,0,0,16000,0,0.025922569334750106,6.0893125
evaluation,11.7,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025787029115120055,5.90125
evaluation,11.7,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02564914625797201,5.6215625
evaluation,11.7,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.025907080343991324,6.341125
evaluation,11.7,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,171,0.0855,0.07402575867765614,0.09856347351850255,0.1215,0,2,16000,2,0.02591586638255175,6.2903125
evaluation,11.7,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.0257960902499689,6.178875
evaluation,11.7,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.02563218881699833,6.0510625
evaluation,11.7,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,1,0.0005,8.826773070546787e-05,0.0028268625032662133,0.0005,0,0,16000,0,0.02597018164956134,6.1553125
evaluation,11.7,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,177,0.0885,0.07682827914571014,0.10174945076676101,0.1215,0,0,16000,0,0.02594293209067408,6.0843125
evaluation,11.7,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025785105217087285,5.7640625
evaluation,11.7,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025650589022397675,5.3346875
evaluation,11.7,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.025950361437062818,6.1719375
evaluation,11.7,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,155,0.0775,0.06657483756091465,0.09004506739174409,0.104,0,0,16000,0,0.025914619391493282,6.1075625
evaluation,11.7,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025785016470171486,5.9090625
evaluation,11.7,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02565658821682223,5.6305
evaluation,11.7,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,2,16000,2,0.025961223125108485,6.364625
evaluation,11.7,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,176,0.088,0.07636089079305232,0.10121875616670008,0.1105,0,0,16000,0,0.02593208494798325,6.307375
evaluation,11.7,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025800662368213437,6.1798125
evaluation,11.7,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025688650986425598,6.0755
evaluation,11.7,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0005,0,0,16000,0,0.026094086216271857,6.21375
evaluation,11.7,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,144,0.072,0.061473133317261355,0.08416785915549115,0.0945,0,0,16000,0,0.02603768530594903,6.1223125
evaluation,11.7,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025868878513277113,5.792625
evaluation,11.7,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025735196196460808,5.3930625
evaluation,11.7,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026098629862521972,6.217375
evaluation,11.7,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,134,0.067,0.05685166729541342,0.07880849565015163,0.09,0,0,16000,0,0.026001724051551753,6.143125
evaluation,11.7,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02588032500689608,5.9310625
evaluation,11.7,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02574745292196793,5.6729375
evaluation,11.7,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,1,16000,1,0.026070794786793226,6.4015
evaluation,11.7,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,146,0.073,0.06239935949340271,0.08523779888478729,0.094,0,0,16000,0,0.02606973938198774,6.34925
evaluation,11.7,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.9995,0,1,16000,1,0.02588788699463997,6.21275
evaluation,11.7,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025709334422115294,6.089
evaluation,15.6,0.17,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,66,0.033,0.026022752700289677,0.041767769460400554,0.043,0,0,16000,0,0.025903555221525616,6.0888125
evaluation,15.6,0.19,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,1499,0.7495,0.7300439749792367,0.7679994184274181,0.8085,0,0,16000,0,0.025879653075593364,6.0203125
evaluation,15.6,0.25,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02574603447727493,5.6255625
evaluation,15.6,0.34,0.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025617327309533918,5.2265625
evaluation,15.6,0.17,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,68,0.034,0.026908260159560583,0.042878427906567144,0.0445,0,0,16000,0,0.02588801919322067,6.1001875
evaluation,15.6,0.19,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,1490,0.745,0.7254407541870743,0.7636198926451118,0.8145,0,0,16000,0,0.025837793151748074,6.053875
evaluation,15.6,0.25,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025728793871846747,5.820625
evaluation,15.6,0.34,0.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025615254809331092,5.576625
evaluation,15.6,0.17,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,49,0.0245,0.01858163028213664,0.032241481682334906,0.0415,0,0,16000,0,0.02592049535587971,6.306625
evaluation,15.6,0.19,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1462,0.731,0.711136493558038,0.7499778305980231,0.791,0,1,16000,1,0.02586486217157048,6.2631875
evaluation,15.6,0.25,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025760394148226114,6.13775
evaluation,15.6,0.34,0.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.025620079831869043,6.036
evaluation,15.6,0.17,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,77,0.0385,0.03091432761660475,0.047855107023991705,0.0525,0,0,16000,0,0.025940862411539947,6.100375
evaluation,15.6,0.19,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,1407,0.7035,0.6831092615886202,0.7231105001679098,0.765,0,0,16000,0,0.025881894885711316,6.01975
evaluation,15.6,0.25,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02576526407778587,5.6498125
evaluation,15.6,0.34,0.5,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02566303439850531,5.2555625
evaluation,15.6,0.17,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,58,0.029,0.022500401616129873,0.03730545692281039,0.046,0,0,16000,0,0.02591660410747493,6.1195625
evaluation,15.6,0.19,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,1407,0.7035,0.6831092615886202,0.7231105001679098,0.78,0,0,16000,0,0.025872473769685066,6.06275
evaluation,15.6,0.25,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02576003235952312,5.8360625
evaluation,15.6,0.34,0.5,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025662787641753417,5.592375
evaluation,15.6,0.17,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,70,0.035,0.027795569156293554,0.04398728481527167,0.046,0,0,16000,0,0.02593446384962192,6.319625
evaluation,15.6,0.19,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,1380,0.69,0.6693826357392854,0.7098888862938384,0.7605,0,0,16000,0,0.02590759141774965,6.27625
evaluation,15.6,0.25,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025778202317833183,6.1558125
evaluation,15.6,0.34,0.5,2.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025630999292257883,6.042125
evaluation,15.6,0.17,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,47,0.0235,0.017718224361690932,0.031108721697343113,0.0345,0,0,16000,0,0.026040726809310508,6.149375
evaluation,15.6,0.19,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,1201,0.6005,0.5788612116287786,0.6217534618676896,0.667,0,0,16000,0,0.025994563663215925,6.040375
evaluation,15.6,0.25,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02581341375648239,5.688125
evaluation,15.6,0.34,1.0,0.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025708548407125286,5.3294375
evaluation,15.6,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,50,0.025,0.019014423503992475,0.032806771413197815,0.034,0,0,16000,0,0.026057463455296335,6.16775
evaluation,15.6,0.19,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,1192,0.596,0.5743304292107909,0.6173014977112083,0.6655,0,0,16000,0,0.02601164779237982,6.093125
evaluation,15.6,0.25,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025838740642182303,5.8663125
evaluation,15.6,0.34,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.025672855577132992,5.63975
evaluation,15.6,0.17,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,61,0.0305,0.02381739549016912,0.03898271190692737,0.043,0,0,16000,0,0.0260260614106874,6.35725
evaluation,15.6,0.19,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1158,0.579,0.5572309570907255,0.6004661494388366,0.6525,0,0,16000,0,0.025988011020678596,6.301875
evaluation,15.6,0.25,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1998,0.999,0.9963610657309615,0.9997257210823479,0.999,0,2,16000,2,0.025826981631851886,6.181375
evaluation,15.6,0.34,1.0,2.0,0.0,False,0.0,0.0,0.0,True,2000,1999,0.9995,0.9971731374967338,0.9999117322692944,0.9995,0,1,16000,1,0.02567706704667255,6.0686875
mixture,7.8,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026176338321219964,6.292
mixture,7.8,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026113104281438173,6.3053125
mixture,7.8,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.02618254765198523,6.3325625
mixture,7.8,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,True,2000,11,0.0055,0.003073897009543817,0.009822062751615332,0.01,0,0,16000,0,0.02628955735596995,6.3435
mixture,7.8,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,True,2000,136,0.068,0.05777462902670909,0.07988169982429345,0.0915,0,0,16000,0,0.026329050076872022,6.342
mixture,7.8,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,True,2000,735,0.3675,0.3466431068552237,0.3888649106743082,0.437,0,0,16000,0,0.02644343752854479,6.3386875
mixture,7.8,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,True,2000,1590,0.795,0.7767497148011462,0.8121192273029145,0.8385,0,0,16000,0,0.026598329022885073,6.328125
mixture,7.8,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,True,2000,1950,0.975,0.9671932285868021,0.9809855764960074,0.986,0,0,16000,0,0.02671330438286271,6.308625
mixture,7.8,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,True,2000,1993,0.9965,0.9927928037467583,0.9983035683029576,0.9985,0,0,16000,0,0.02685814876526405,6.27925
mixture,7.8,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026946931266185227,6.2575
mixture,7.8,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.027025116574521026,6.2325625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,0,0.0,1.0842021724855044e-19,0.001917047281252934,0.0,0,0,16000,0,0.026096670509080707,6.2275625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,True,2000,2,0.001,0.0002742789176520342,0.003638934269038394,0.0035,0,0,16000,0,0.026084940129249255,6.2349375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,True,2000,102,0.051,0.04218996991731548,0.06153153854124964,0.066,0,0,16000,0,0.02609772167600864,6.2440625
mixture,11.7,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,True,2000,607,0.3035,0.28374259404553775,0.32401080553599454,0.365,0,0,16000,0,0.02615043806940298,6.244375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,True,2000,1434,0.717,0.696856785116098,0.7363112163638381,0.781,0,0,16000,0,0.026292212696773683,6.2603125
mixture,11.7,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,True,2000,1903,0.9515,0.9411889997479057,0.9600799065571228,0.9655,0,0,16000,0,0.026405023864911083,6.247875
mixture,11.7,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,True,2000,1991,0.9955,0.9914694867812403,0.9976307193630382,0.9985,0,0,16000,0,0.0265271017687218,6.24075
mixture,11.7,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026679775203647848,6.2335
mixture,11.7,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026802005425817982,6.213375
mixture,11.7,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026936344925867755,6.1845625
mixture,11.7,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02695990734843339,6.1721875
mixture,15.6,0.17,1.0,1.0,0.0,False,0.0,0.0,0.0,True,2000,70,0.035,0.027795569156293554,0.04398728481527167,0.045,0,0,16000,0,0.02604796746052779,6.1718125
mixture,15.6,0.17,1.0,1.0,0.0,False,0.1,0.0,0.0,True,2000,387,0.1935,0.17678106379716146,0.21139408618624655,0.241,0,0,16000,0,0.026011012184665946,6.17325
mixture,15.6,0.17,1.0,1.0,0.0,False,0.2,0.0,0.0,True,2000,1134,0.567,0.5451765654961774,0.5885665501681346,0.6345,0,0,16000,0,0.02607489061971292,6.184625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.30000000000000004,0.0,0.0,True,2000,1739,0.8695,0.8540258583313894,0.8835574437277646,0.9145,0,0,16000,0,0.02616136639907834,6.1805625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.4,0.0,0.0,True,2000,1969,0.9845,0.97808335411817,0.9890590270662959,0.991,0,0,16000,0,0.026226358473566278,6.1794375
mixture,15.6,0.17,1.0,1.0,0.0,False,0.5,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026400188130180906,6.18075
mixture,15.6,0.17,1.0,1.0,0.0,False,0.6000000000000001,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.02644698979724659,6.1604375
mixture,15.6,0.17,1.0,1.0,0.0,False,0.7000000000000001,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026613399928803894,6.1600625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.8,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026744689698463785,6.1490625
mixture,15.6,0.17,1.0,1.0,0.0,False,0.9,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026891841016718848,6.144375
mixture,15.6,0.17,1.0,1.0,0.0,False,1.0,0.0,0.0,True,2000,2000,1.0,0.9980829527187469,0.9999999999999998,1.0,0,0,16000,0,0.026961841122940762,6.14475
